ID,Material Composition,Fiber Type,Matrix Type,Fiber Volume Fraction (%),Matrix Volume Fraction (%),Manufacturing Process,Process Parameters,Tensile Strength (MPa),Flexural Strength (MPa),Thermal Conductivity (W/m·K),Glass Transition Temperature (°C),Impact Resistance (J),Source
60,NaturalF/Epoxy,Jute,Epoxy,40,60,Vacuum Bagging,"80∘C,0.1MPa",200,300,0.2,85,20,Synthetic-60
61,CFRP/Epoxy,Carbon,Epoxy,63,37,Autoclave Curing,"125∘C,0.8MPa",1300,1850,1.85,135,48,Synthetic-61
62,GFRP/Polyester,Glass,Polyester,48,52,RTM,"82∘C,0.52MPa",580,880,0.48,98,32,Synthetic-62
63,AFRP/Epoxy,Aramid,Epoxy,52,48,Prepreg Layup,"130∘C,0.75MPa",790,1050,0.09,135,58,Synthetic-63
64,CFRP/PEEK,Carbon,PEEK,68,32,Compression Molding,"385∘C,1.25MPa",1650,2250,2.55,185,37,Synthetic-64
65,BasaltF/PP,Basalt,Polypropylene (PP),28,72,Extrusion,"198∘C,0.18MPa",280,430,0.33,163,39,Synthetic-65
66,GFRP/Epoxy,Glass,Epoxy,53,47,Hand Layup,"24∘C,Ambient",450,700,0.42,79,23,Synthetic-66
67,CFRP/Epoxy,Carbon,Epoxy,52,48,Vacuum Bagging,"95∘C,0.15MPa",1000,1450,1.55,105,38,Synthetic-67
68,SiCF/Ceramic,SiC,Ceramic,38,62,Hot Pressing,"1490∘C,19.8MPa",190,290,14.8,1490,14,Synthetic-68
69,BoronF/Epoxy,Boron,Epoxy,60,40,Filament Winding,"108∘C,0.58MPa",1380,1980,1.88,123,49,Synthetic-69
70,GFRP/Polyester,Glass,Polyester,43,57,Spray Layup,"26∘C,Ambient",380,530,0.32,68,17,Synthetic-70
71,CFRP/BMI,Carbon,BMI,62,38,Autoclave Curing,"202∘C,0.92MPa",1320,1920,2.02,242,56,Synthetic-71
72,KevlarF/Epoxy,Aramid,Epoxy,51,49,Wet Layup,"24∘C,Ambient",720,970,0.08,87,72,Synthetic-72
73,CNT/Polymer,Carbon Nanotube,PC,4,96,Melt Mixing,"298∘C,0.08MPa",80,120,4.8,148,24,Synthetic-73
74,GFRP/Epoxy,Glass,Epoxy,67,33,RTM,"102∘C,0.82MPa",670,970,0.52,117,36,Synthetic-74
75,CFRP/Epoxy,Carbon,Epoxy,44,56,Autoclave Curing,"138∘C,0.98MPa",930,1330,1.48,143,37,Synthetic-75
76,NaturalF/PLA,Hemp,PLA,19,81,3D Printing,"208∘C,Ambient",40,70,0.18,58,9,Synthetic-76
77,GFRP/PEI,Glass,PEI,54,46,Injection Molding,"348∘C,0.78MPa",580,880,0.38,213,39,Synthetic-77
78,CFRP/Epoxy,Carbon,Epoxy,59,41,Compression Molding,"127∘C,0.62MPa",1120,1620,1.72,137,43,Synthetic-78
79,SiCF/Epoxy,SiC,Epoxy,51,49,Hand Layup,"24∘C,Ambient",370,570,0.82,72,29,Synthetic-79
80,CFRP/VinylEster,Carbon,Vinyl Ester,39,61,RTM,"83∘C,0.38MPa",730,1030,1.18,98,31,Synthetic-80
81,GFRP/Epoxy,Glass,Epoxy,57,43,VARTM,"110∘C,0.12MPa",620,890,0.51,108,33,Synthetic-81
82,CFRP/Epoxy,Carbon,Epoxy,51,49,Autoclave,"140∘C,0.85MPa",1100,1650,1.65,145,38,Synthetic-82
83,BasaltF/Polymer,Basalt,HDPE,33,67,Injection Molding,"208∘C,0.38MPa",360,560,0.28,128,29,Synthetic-83
84,AFRP/Epoxy,Aramid,Epoxy,46,54,Hand Layup,"26∘C,Ambient",630,830,0.06,76,54,Synthetic-84
85,CNT/Epoxy,Carbon Nanotube,Epoxy,3,97,Melt Mixing,"102∘C,0.12MPa",80,110,4.2,92,16,Synthetic-85
86,GFRP/VinylEster,Glass,Vinyl Ester,63,37,Filament Winding,"93∘C,0.58MPa",680,980,0.53,103,37,Synthetic-86
87,CFRP/PEEK,Carbon,PEEK,52,48,3D Printing (AFM),"398∘C,0.48MPa",1020,1520,2.02,192,26,Synthetic-87
88,GFRP/Polyester,Glass,Polyester,44,56,Spray Layup,"26∘C,Ambient",390,560,0.37,72,17,Synthetic-88
89,SiCF/Ceramic,SiC,Ceramic,57,43,Hot Pressing,"1620∘C,25.2MPa",300,440,18.2,1620,19,Synthetic-89
90,NaturalF/Epoxy,Jute,Epoxy,42,58,Vacuum Bagging,"82∘C,0.12MPa",220,320,0.22,87,21,Synthetic-90
91,CFRP/Epoxy,Carbon,Epoxy,64,36,Autoclave Curing,"127∘C,0.82MPa",1320,1870,1.87,137,49,Synthetic-91
92,GFRP/Polyester,Glass,Polyester,47,53,RTM,"84∘C,0.54MPa",600,900,0.5,100,33,Synthetic-92
93,AFRP/Epoxy,Aramid,Epoxy,53,47,Prepreg Layup,"132∘C,0.77MPa",810,1070,0.11,137,59,Synthetic-93
94,CFRP/PEEK,Carbon,PEEK,67,33,Compression Molding,"387∘C,1.27MPa",1670,2270,2.57,187,38,Synthetic-94
95,BasaltF/PP,Basalt,Polypropylene (PP),29,71,Extrusion,"200∘C,0.20MPa",290,440,0.34,164,39,Synthetic-95
96,GFRP/Epoxy,Glass,Epoxy,54,46,Hand Layup,"25∘C,Ambient",470,720,0.44,81,24,Synthetic-96
97,CFRP/Epoxy,Carbon,Epoxy,51,49,Vacuum Bagging,"97∘C,0.17MPa",1020,1470,1.57,107,39,Synthetic-97
98,SiCF/Ceramic,SiC,Ceramic,37,63,Hot Pressing,"1480∘C,19.6MPa",180,280,14.7,1480,13,Synthetic-98
99,BoronF/Epoxy,Boron,Epoxy,59,41,Filament Winding,"106∘C,0.56MPa",1360,1960,1.86,121,48,Synthetic-99
100,GFRP/Polyester,Glass,Polyester,44,56,Spray Layup,"27∘C,Ambient",390,540,0.34,69,18,Synthetic-100
